region,interval,L
chrom_1.region_0,"[1, 30000001]",6141737
chrom_1.region_1,"[30000001, 60000001]",8172310
chrom_1.region_2,"[60000001, 90000001]",12589798
chrom_1.region_3,"[90000001, 120000001]",10689622
chrom_1.region_4,"[120000001, 150000001]",251342
chrom_1.region_5,"[150000001, 180000001]",7455207
chrom_1.region_6,"[180000001, 210000001]",11186465
chrom_1.region_7,"[210000001, 240000001]",9624656
chrom_1.region_8,"[240000001, 270000001]",2254821
chrom_2.region_0,"[1, 30000001]",13021259
chrom_2.region_1,"[30000001, 60000001]",12556426
chrom_2.region_2,"[60000001, 90000001]",10684489
chrom_2.region_3,"[90000001, 120000001]",7802105
chrom_2.region_4,"[120000001, 150000001]",13919129
chrom_2.region_5,"[150000001, 180000001]",11017869
chrom_2.region_6,"[180000001, 210000001]",12224677
chrom_2.region_7,"[210000001, 240000001]",11561717
chrom_2.region_8,"[240000001, 270000001]",273356
chrom_3.region_0,"[1, 30000001]",12895251
chrom_3.region_1,"[30000001, 60000001]",8145970
chrom_3.region_2,"[60000001, 90000001]",15961727
chrom_3.region_3,"[90000001, 120000001]",11541041
chrom_3.region_4,"[120000001, 150000001]",9376762
chrom_3.region_5,"[150000001, 180000001]",13530597
chrom_3.region_6,"[180000001, 210000001]",5667199
chrom_4.region_0,"[1, 30000001]",12633412
chrom_4.region_1,"[30000001, 60000001]",11878721
chrom_4.region_2,"[60000001, 90000001]",11244094
chrom_4.region_3,"[90000001, 120000001]",13377072
chrom_4.region_4,"[120000001, 150000001]",14450136
chrom_4.region_5,"[150000001, 180000001]",14190688
chrom_4.region_6,"[180000001, 210000001]",4569151
chrom_5.region_0,"[1, 30000001]",15519926
chrom_5.region_1,"[30000001, 60000001]",10066492
chrom_5.region_2,"[60000001, 90000001]",11407673
chrom_5.region_3,"[90000001, 120000001]",14241452
chrom_5.region_4,"[120000001, 150000001]",10353354
chrom_5.region_5,"[150000001, 180000001]",12000134
chrom_5.region_6,"[180000001, 210000001]",137818
chrom_6.region_0,"[1, 30000001]",11179181
chrom_6.region_1,"[30000001, 60000001]",7333902
chrom_6.region_2,"[60000001, 90000001]",12458800
chrom_6.region_3,"[90000001, 120000001]",13327444
chrom_6.region_4,"[120000001, 150000001]",12305538
chrom_6.region_5,"[150000001, 180000001]",7608978
chrom_7.region_0,"[1, 30000001]",11405805
chrom_7.region_1,"[30000001, 60000001]",9996361
chrom_7.region_2,"[60000001, 90000001]",8851918
chrom_7.region_3,"[90000001, 120000001]",10640039
chrom_7.region_4,"[120000001, 150000001]",10432305
chrom_7.region_5,"[150000001, 180000001]",2794915
chrom_8.region_0,"[1, 30000001]",10996133
chrom_8.region_1,"[30000001, 60000001]",11134984
chrom_8.region_2,"[60000001, 90000001]",13623261
chrom_8.region_3,"[90000001, 120000001]",13064719
chrom_8.region_4,"[120000001, 150000001]",10733447
chrom_9.region_0,"[1, 30000001]",13846753
chrom_9.region_1,"[30000001, 60000001]",2643228
chrom_9.region_2,"[60000001, 90000001]",9080246
chrom_9.region_3,"[90000001, 120000001]",10904797
chrom_9.region_4,"[120000001, 150000001]",2827541
chrom_10.region_0,"[1, 30000001]",10897679
chrom_10.region_1,"[30000001, 60000001]",8872543
chrom_10.region_2,"[60000001, 90000001]",11348263
chrom_10.region_3,"[90000001, 120000001]",9748339
chrom_10.region_4,"[120000001, 150000001]",5554631
chrom_11.region_0,"[1, 30000001]",9460104
chrom_11.region_1,"[30000001, 60000001]",8242030
chrom_11.region_2,"[60000001, 90000001]",7237433
chrom_11.region_3,"[90000001, 120000001]",12447315
chrom_11.region_4,"[120000001, 150000001]",5982327
chrom_12.region_0,"[1, 30000001]",9006735
chrom_12.region_1,"[30000001, 60000001]",7125589
chrom_12.region_2,"[60000001, 90000001]",13117132
chrom_12.region_3,"[90000001, 120000001]",9903438
chrom_12.region_4,"[120000001, 150000001]",3909782
chrom_13.region_0,"[1, 30000001]",3100824
chrom_13.region_1,"[30000001, 60000001]",12181271
chrom_13.region_2,"[60000001, 90000001]",18081545
chrom_13.region_3,"[90000001, 120000001]",11295483
chrom_14.region_0,"[1, 30000001]",4168984
chrom_14.region_1,"[30000001, 60000001]",12507547
chrom_14.region_2,"[60000001, 90000001]",10858501
chrom_14.region_3,"[90000001, 120000001]",4519830
chrom_15.region_0,"[1, 30000001]",2271643
chrom_15.region_1,"[30000001, 60000001]",8505259
chrom_15.region_2,"[60000001, 90000001]",7717433
chrom_15.region_3,"[90000001, 120000001]",5031777
chrom_16.region_0,"[1, 30000001]",7143662
chrom_16.region_1,"[30000001, 60000001]",5329146
chrom_16.region_2,"[60000001, 90000001]",11334915
chrom_16.region_3,"[90000001, 120000001]",0
chrom_17.region_0,"[1, 30000001]",4243340
chrom_17.region_1,"[30000001, 60000001]",6128174
chrom_17.region_2,"[60000001, 90000001]",5023083
chrom_18.region_0,"[1, 30000001]",8944184
chrom_18.region_1,"[30000001, 60000001]",13399523
chrom_18.region_2,"[60000001, 90000001]",10629389
chrom_19.region_0,"[1, 30000001]",1997394
chrom_19.region_1,"[30000001, 60000001]",2999675
chrom_20.region_0,"[1, 30000001]",9957815
chrom_20.region_1,"[30000001, 60000001]",8436054
chrom_20.region_2,"[60000001, 90000001]",1535772
chrom_21.region_0,"[1, 30000001]",8424629
chrom_21.region_1,"[30000001, 60000001]",4036606
chrom_22.region_0,"[1, 30000001]",1864544
chrom_22.region_1,"[30000001, 60000001]",4586709
