#param	opt_value	std_err
N_A	16647.576307286203	13.63663972733099
T_NMH	456345.24292738596	559.6607491686012
N_N	2465.0668447055205	4.550012007387509
T_EXP	162984.64266770956	1797.4605607495007
N_AMH	40712.47238348066	954.979191296791
T_OOA	66738.29786488197	592.4873174815018
N_MSL	20842.901365839993	124.96512777000076
N_OOA	1121.0331286543624	19.64205088537957
N_GBR	12002.469994555104	194.52718305653516
m	4.490426979450963e-05	3.3563592203577564e-07
p_misid	0.018587370532721553	0.00011880787168018383
